school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Secondary","TAS",459,"Government",246,880,39,459.0,14,213,"7-Oct","Inner Regional","Rocherlea",74553,"Inner Regional Australia","2016",147.1213599,-41.37813391
"Combined","TAS",88,"Government",31,995,10,85.6,1,57,"U, K-10","Very Remote","Whitemark",74554,"Very Remote Australia","2016",148.0348628,-40.11254151
"Combined","TAS",380,"Government",183,947,30,356.7,0,197,"K-12","Outer Regional","Lilydale",74555,"Outer Regional Australia","2016",147.2159829,-41.25251745
"Primary","TAS",303,"Government",142,864,27,284.2,0,161,"K-6","Inner Regional","Ravenswood",74556,"Inner Regional Australia","2016",147.1753683,-41.41878768
"Secondary","TAS",298,"Government",143,941,30,297.3,0,155,"7-Dec","Outer Regional","Scottsdale",74557,"Outer Regional Australia","2016",147.51,-41.1546
"Secondary","TAS",378,"Government",200,882,32,378.0,2,178,"7-Oct","Outer Regional","Romaine",74558,"Outer Regional Australia","2016",145.90176,-41.07905504
"Secondary","TAS",475,"Government",239,919,49,474.4,2,236,"7-Oct","Inner Regional","Devonport",74559,"Inner Regional Australia","2016",146.352,-41.189
"Secondary","TAS",437,"Government",212,917,41,436.1,1,225,"U, 7-10","Outer Regional","Ulverstone",74560,"Outer Regional Australia","2016",146.1708234,-41.16325954
"Secondary","TAS",262,"Government",120,925,22,262.0,2,142,"7-Oct","Outer Regional","Wynyard",74561,"Outer Regional Australia","2016",145.7176428,-40.98627358
"Secondary","TAS",230,"Government",120,861,24,229.4,14,110,"7-Oct","Inner Regional","Glenorchy",74562,"Inner Regional Australia","2016",147.283187,-42.83650615
"Combined","TAS",104,"Government",37,924,11,102.8,1,67,"K-12","Outer Regional","Dover",74563,"Outer Regional Australia","2016",147.0130337,-43.31008295
"Primary","TAS",65,"Government",29,895,10,61.4,3,36,"K-6","Outer Regional","Geeveston",74564,"Outer Regional Australia","2016",146.9221263,-43.16224412
"Secondary","TAS",463,"Government",208,910,46,455.1,1,255,"7-Dec","Outer Regional","Huonville",74565,"Outer Regional Australia","2016",147.0469488,-43.02374508
"Secondary","TAS",175,"Government",81,850,16,175.0,1,94,"7-Oct","Inner Regional","Rokeby",74566,"Inner Regional Australia","2016",147.4450042,-42.89719843
"Combined","TAS",77,"Government",34,893,11,75.0,0,43,"K-10","Outer Regional","Bothwell",74567,"Outer Regional Australia","2016",147.0157196,-42.38402831
"Secondary","TAS",239,"Government",123,934,22,239.0,1,116,"7-Dec","Outer Regional","Deloraine",74568,"Outer Regional Australia","2016",146.6601803,-41.52974888
"Combined","TAS",197,"Government",96,886,17,192.6,2,101,"K-12","Outer Regional","Glenora",74569,"Outer Regional Australia","2016",146.8894489,-42.69690112
"Secondary","TAS",281,"Government",129,879,26,278.3,1,152,"7-Nov","Inner Regional","New Norfolk",74570,"Inner Regional Australia","2016",147.061232,-42.78854201
"Combined","TAS",268,"Government",125,904,29,265.2,1,143,"K-10","Outer Regional","Oatlands",74571,"Outer Regional Australia","2016",147.3708017,-42.30055552
"Primary","TAS",19,"Government",11,993,6,18.2,0,8,"K-6","Outer Regional","Ouse",74572,"Outer Regional Australia","2016",146.707466,-42.48152312
"Combined","TAS",87,"Government",43,928,14,84.6,3,44,"K-12","Remote","Rosebery",74573,"Remote Australia","2016",145.5424723,-41.77912684
"Combined","TAS",535,"Government",255,952,48,507.9,1,280,"K-12","Outer Regional","St Helens",74574,"Outer Regional Australia","2016",148.2462974,-41.32453944
"Combined","TAS",326,"Government",159,938,31,317.5,0,167,"K-12","Outer Regional","St Marys",74575,"Outer Regional Australia","2016",148.1893989,-41.58478994
"Combined","TAS",168,"Government",81,883,21,163.4,1,87,"K-10","Outer Regional","Triabunna",74576,"Outer Regional Australia","2016",147.9110679,-42.50742508
"Secondary","TAS",538,"Government",269,951,43,538.0,1,269,"7-Oct","Outer Regional","Cooee",74577,"Outer Regional Australia","2016",145.8664653,-41.0415376
