school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Primary","VIC",300,"Government",157,976,20,300.0,2,143,"Prep-6","Inner Regional","Healesville",78115,"Inner Regional Australia","2016",145.5160425,-37.65713287
"Combined","VIC",101,"Government",52,951,13,101.0,6,49,"Prep-12","Outer Regional","Lake Bolac",78116,"Outer Regional Australia","2016",142.837903,-37.720241
"Primary","VIC",61,"Government",29,945,6,61.0,5,32,"Prep-6","Inner Regional","Toongabbie",78117,"Inner Regional Australia","2016",146.625183,-38.056967
"Primary","VIC",62,"Government",30,980,5,62.0,5,32,"Prep-6","Inner Regional","Waubra",78118,"Inner Regional Australia","2016",143.636687,-37.35471
"Primary","VIC",21,"Government",11,1045,3,21.0,0,10,"Prep-6","Inner Regional","Great Western",78119,"Inner Regional Australia","2016",142.85173,-37.148513
"Primary","VIC",303,"Government",162,973,23,303.0,4,141,"Prep-6","Inner Regional","Maffra",78120,"Inner Regional Australia","2016",146.97677,-37.964002
"Primary","VIC",18,"Government",7,828,2,18.0,11,11,"Prep-6","Inner Regional","Broken Creek",78121,"Inner Regional Australia","2016",145.889232,-36.423279
"Primary","VIC",40,"Government",17,983,4,40.0,5,23,"Prep-6","Inner Regional","Lal Lal",78122,"Inner Regional Australia","2016",144.0105709,-37.67652683
"Primary","VIC",192,"Government",84,973,14,192.0,2,108,"Prep-6","Inner Regional","Cobden",78123,"Inner Regional Australia","2016",143.078121,-38.327119
"Primary","VIC",85,"Government",44,950,9,85.0,1,41,"Prep-6","Inner Regional","St Leonards",78124,"Inner Regional Australia","2016",144.7150193,-38.17193185
"Primary","VIC",237,"Government",123,1013,21,237.0,9,114,"Prep-6","Major Cities","Lilydale",78125,"Major Cities of Australia","2016",145.3540681,-37.75367357
"Primary","VIC",162,"Government",85,965,14,162.0,8,77,"Prep-6","Inner Regional","Bendigo",78126,"Inner Regional Australia","2016",144.264982,-36.757329
"Primary","VIC",26,"Government",17,970,3,26.0,0,9,"Prep-6","Inner Regional","Darraweit Guim",78127,"Inner Regional Australia","2016",144.8935664,-37.4010281
"Primary","VIC",23,"Government",16,1011,2,23.0,4,7,"Prep-6","Inner Regional","Linton",78128,"Inner Regional Australia","2016",143.5613088,-37.68406827
"Primary","VIC",8,"Government",3,null,2,8.0,12,5,"Prep-6","Outer Regional","Mitta Mitta",78129,"Outer Regional Australia","2016",147.379483,-36.533414
"Primary","VIC",613,"Government",295,1203,41,612.2,45,318,"Prep-6","Major Cities","Camberwell",78130,"Major Cities of Australia","2016",145.057999,-37.833118
"Primary","VIC",733,"Government",349,1023,41,732.6,46,384,"Prep-6","Major Cities","Greenvale",78131,"Major Cities of Australia","2016",144.885933,-37.640312
"Primary","VIC",178,"Government",93,996,15,178.0,3,85,"Prep-6","Inner Regional","Alexandra",78132,"Inner Regional Australia","2016",145.7117256,-37.19253956
"Primary","VIC",69,"Government",28,916,6,69.0,10,41,"Prep-6","Inner Regional","Rockbank",78133,"Inner Regional Australia","2016",144.66214,-37.732023
"Primary","VIC",560,"Government",280,1007,36,560.0,1,280,"Prep-6","Inner Regional","Bannockburn",78134,"Inner Regional Australia","2016",144.16951,-38.047092
"Primary","VIC",157,"Government",77,1041,11,157.0,7,80,"Prep-6","Major Cities","Doreen",78135,"Major Cities of Australia","2016",145.146482,-37.606324
"Primary","VIC",68,"Government",27,926,7,68.0,6,41,"Prep-6","Inner Regional","Talbot",78136,"Inner Regional Australia","2016",143.703604,-37.16865
"Primary","VIC",150,"Government",71,993,10,150.0,4,79,"Prep-6","Inner Regional","Yarra Glen",78137,"Inner Regional Australia","2016",145.3716153,-37.64909639
"Primary","VIC",8,"Government",3,null,2,8.0,0,5,"1-Jun","Outer Regional","Elmhurst",78138,"Outer Regional Australia","2016",143.250208,-37.178015
"Primary","VIC",290,"Government",141,896,25,290.0,12,149,"Prep-6","Inner Regional","Kangaroo Flat",78139,"Inner Regional Australia","2016",144.234463,-36.788258
"Primary","VIC",453,"Government",232,991,28,452.4,23,221,"Prep-6","Major Cities","Westmeadows",78140,"Major Cities of Australia","2016",144.895697,-37.675649
"Primary","VIC",360,"Government",175,1049,21,359.2,8,185,"Prep-6","Major Cities","Sunbury",78141,"Major Cities of Australia","2016",144.728144,-37.597687
"Primary","VIC",213,"Government",95,1077,14,213.0,4,118,"Prep-6","Major Cities","Diamond Creek",78142,"Major Cities of Australia","2016",145.1516539,-37.67184929
"Primary","VIC",33,"Government",16,934,3,33.0,3,17,"Prep-6","Inner Regional","Hesket",78143,"Inner Regional Australia","2016",144.6197775,-37.34780909
"Primary","VIC",93,"Government",50,1003,5,93.0,1,43,"Prep-6","Inner Regional","Axedale",78144,"Inner Regional Australia","2016",144.50146,-36.786228
"Primary","VIC",686,"Government",346,1141,39,686.0,45,340,"Prep-6","Major Cities","Vermont",78145,"Major Cities of Australia","2016",145.194176,-37.837658
"Primary","VIC",26,"Government",12,978,3,26.0,0,14,"Prep-6","Inner Regional","Tarnagulla",78146,"Inner Regional Australia","2016",143.828403,-36.771263
"Primary","VIC",476,"Government",229,1178,32,476.0,63,247,"Prep-6","Major Cities","Balwyn",78147,"Major Cities of Australia","2016",145.081524,-37.813944
"Primary","VIC",229,"Government",116,1039,14,229.0,24,113,"Prep-6","Major Cities","Scoresby",78148,"Major Cities of Australia","2016",145.227501,-37.89395
"Primary","VIC",271,"Government",103,951,22,271.0,1,168,"Prep-6","Inner Regional","Carisbrook",78149,"Inner Regional Australia","2016",143.812657,-37.052061
"Primary","VIC",82,"Government",34,970,7,82.0,1,48,"Prep-6","Major Cities","Wandin North",78150,"Major Cities of Australia","2016",145.436503,-37.79036668
"Primary","VIC",24,"Government",11,945,5,23.6,4,13,"Prep-6","Major Cities","Yering",78151,"Major Cities of Australia","2016",145.3822185,-37.7053494
"Primary","VIC",25,"Government",11,1029,3,25.0,0,14,"Prep-6","Outer Regional","Dartmoor",78152,"Outer Regional Australia","2016",141.276732,-37.923017
"Primary","VIC",123,"Government",60,967,13,123.0,20,63,"Prep-6","Major Cities","Mickleham",78153,"Major Cities of Australia","2016",144.877199,-37.563336
"Primary","VIC",26,"Government",15,966,4,26.0,0,11,"Prep-6","Inner Regional","Inglewood",78154,"Inner Regional Australia","2016",143.870446,-36.573945
"Primary","VIC",63,"Government",26,1052,5,62.2,5,37,"Prep-6","Inner Regional","Chewton",78155,"Inner Regional Australia","2016",144.261,-37.0821
"Primary","VIC",32,"Government",17,1032,4,32.0,0,15,"Prep-6","Inner Regional","Bolinda",78156,"Inner Regional Australia","2016",144.7457048,-37.4335933
"Primary","VIC",101,"Government",44,973,10,101.0,1,57,"Prep-6","Inner Regional","Napoleons",78157,"Inner Regional Australia","2016",143.8261417,-37.67809255
"Primary","VIC",486,"Government",236,1138,31,486.0,41,250,"Prep-6","Major Cities","Kew",78158,"Major Cities of Australia","2016",145.033156,-37.80463
"Primary","VIC",217,"Government",99,1012,17,217.0,2,118,"Prep-6","Inner Regional","Haddon",78159,"Inner Regional Australia","2016",143.7217144,-37.58863962
"Primary","VIC",18,"Government",12,1015,4,18.0,0,6,"Prep-5","Inner Regional","Panmure",78160,"Inner Regional Australia","2016",142.732528,-38.32935021
"Primary","VIC",321,"Government",148,1047,21,321.0,3,173,"Prep-6","Major Cities","Sorrento",78161,"Major Cities of Australia","2016",144.741,-38.3417
"Primary","VIC",611,"Government",309,1026,35,611.0,11,302,"Prep-6","Inner Regional","Alfredton",78162,"Inner Regional Australia","2016",143.8017398,-37.55496802
"Primary","VIC",24,"Government",10,950,3,24.0,0,14,"Prep-6","Inner Regional","Bridgewater On Loddon",78163,"Inner Regional Australia","2016",143.945917,-36.603101
"Primary","VIC",248,"Government",118,933,19,248.0,12,130,"Prep-6","Major Cities","Hastings",78164,"Major Cities of Australia","2016",145.189121,-38.299463
"Primary","VIC",143,"Government",64,1081,11,143.0,1,79,"Prep-6","Inner Regional","Yackandandah",78165,"Inner Regional Australia","2016",146.836458,-36.312095
"Primary","VIC",133,"Government",69,983,11,133.0,5,64,"Prep-6","Inner Regional","Nagambie",78166,"Inner Regional Australia","2016",145.157226,-36.787589
"Primary","VIC",242,"Government",114,1074,17,242.0,26,128,"Prep-6","Major Cities","Moorabbin",78167,"Major Cities of Australia","2016",145.039171,-37.942362
"Primary","VIC",356,"Government",183,1027,25,356.0,4,173,"Prep-6","Outer Regional","Mansfield",78168,"Outer Regional Australia","2016",146.085062,-37.055507
"Primary","VIC",35,"Government",11,1061,3,35.0,0,24,"Prep-6","Inner Regional","Indigo Valley",78169,"Inner Regional Australia","2016",146.72484,-36.156013
"Primary","VIC",99,"Government",41,987,6,99.0,0,58,"Prep-6","Outer Regional","Briagolong",78170,"Outer Regional Australia","2016",147.067843,-37.842801
"Primary","VIC",127,"Government",60,977,10,127.0,4,67,"Prep-6","Outer Regional","Lindenow",78171,"Outer Regional Australia","2016",147.453266,-37.800879
"Primary","VIC",356,"Government",188,968,25,356.0,6,168,"Prep-6","Inner Regional","Broadford",78172,"Inner Regional Australia","2016",145.046301,-37.20257
"Primary","VIC",108,"Government",50,962,10,108.0,4,58,"Prep-6","Inner Regional","Murchison",78173,"Inner Regional Australia","2016",145.214287,-36.61718
"Primary","VIC",115,"Government",65,1062,9,115.0,2,50,"Prep-6","Major Cities","Panton Hill",78174,"Major Cities of Australia","2016",145.2397027,-37.64150892
"Primary","VIC",4,"Government",3,null,1,4.0,0,1,"2-Jun","Inner Regional","Glen Park",78175,"Inner Regional Australia","2016",143.935,-37.5247
"Primary","VIC",24,"Government",11,986,3,24.0,0,13,"Prep-6","Outer Regional","Concongella",78176,"Outer Regional Australia","2016",142.822316,-37.049558
"Primary","VIC",44,"Government",21,880,4,44.0,0,23,"Prep-6","Outer Regional","Bruthen",78177,"Outer Regional Australia","2016",147.833492,-37.704214
"Primary","VIC",498,"Government",247,938,40,497.6,6,251,"Prep-6","Outer Regional","Swan Hill",78178,"Outer Regional Australia","2016",143.54325,-35.346911
"Primary","VIC",101,"Government",52,992,8,100.1,4,49,"Prep-6","Outer Regional","Porepunkah",78179,"Outer Regional Australia","2016",146.911022,-36.699486
"Primary","VIC",792,"Government",366,1011,49,792.0,3,426,"Prep-6","Major Cities","Leopold",78180,"Major Cities of Australia","2016",144.464536,-38.18689
"Primary","VIC",192,"Government",92,1064,13,192.0,4,100,"Prep-6","Inner Regional","Inverleigh",78181,"Inner Regional Australia","2016",144.0546877,-38.10094228
"Primary","VIC",415,"Government",185,1176,29,415.0,19,230,"Prep-6","Major Cities","Glen Iris",78182,"Major Cities of Australia","2016",145.065883,-37.860436
"Primary","VIC",14,"Government",4,862,4,14.0,0,10,"Prep-6","Inner Regional","Trawalla",78183,"Inner Regional Australia","2016",143.469859,-37.437731
"Primary","VIC",362,"Government",174,1045,27,362.0,1,188,"Prep-6","Inner Regional","Quarry Hill",78184,"Inner Regional Australia","2016",144.280277,-36.77507
"Primary","VIC",98,"Government",48,886,8,98.0,2,50,"Prep-6","Inner Regional","Sebastopol",78185,"Inner Regional Australia","2016",143.844719,-37.59643401
"Primary","VIC",22,"Government",11,950,4,22.0,0,11,"Prep-6","Inner Regional","Noorat",78186,"Inner Regional Australia","2016",142.928735,-38.190751
"Primary","VIC",542,"Government",264,1143,34,542.0,12,278,"Prep-6","Major Cities","Albert Park",78187,"Major Cities of Australia","2016",144.952395,-37.841787
"Primary","VIC",541,"Government",253,1131,31,541.0,12,288,"Prep-6","Major Cities","Williamstown",78188,"Major Cities of Australia","2016",144.8997536,-37.8639898
"Primary","VIC",361,"Government",176,1017,26,361.0,5,185,"Prep-6","Inner Regional","Boneo",78189,"Inner Regional Australia","2016",144.886977,-38.412073
"Primary","VIC",11,"Government",4,1070,3,11.0,9,7,"Prep-5","Inner Regional","Queenscliff",78190,"Inner Regional Australia","2016",144.6560694,-38.2672568
"Primary","VIC",283,"Government",135,986,20,283.0,0,148,"Prep-6","Outer Regional","Portland North",78191,"Outer Regional Australia","2016",141.572331,-38.317639
"Primary","VIC",36,"Government",20,896,4,36.0,3,16,"Prep-6","Inner Regional","Timor",78192,"Inner Regional Australia","2016",143.711987,-36.984224
"Primary","VIC",16,"Government",9,982,2,16.0,0,7,"Prep-6","Outer Regional","Apsley",78193,"Outer Regional Australia","2016",141.082487,-36.973706
"Primary","VIC",481,"Government",237,1031,31,481.0,2,244,"Prep-6","Inner Regional","Strathfieldsaye",78194,"Inner Regional Australia","2016",144.352731,-36.804386
"Primary","VIC",504,"Government",248,974,38,503.8,4,256,"Prep-6","Major Cities","Skye",78195,"Major Cities of Australia","2016",145.201245,-38.117707
"Primary","VIC",21,"Government",12,937,2,21.0,0,9,"Prep-6","Inner Regional","Tooborac",78196,"Inner Regional Australia","2016",144.798145,-37.039779
"Primary","VIC",526,"Government",259,982,36,524.8,4,267,"Prep-6","Outer Regional","Bairnsdale",78197,"Outer Regional Australia","2016",147.630748,-37.812667
"Primary","VIC",192,"Government",87,1009,15,192.0,6,105,"Prep-6","Inner Regional","Upper Plenty",78198,"Inner Regional Australia","2016",145.057874,-37.423711
"Primary","VIC",272,"Government",127,1137,19,272.0,31,145,"Prep-6","Major Cities","Carlton North",78199,"Major Cities of Australia","2016",144.973028,-37.791064
"Primary","VIC",102,"Government",39,1046,8,101.8,4,63,"Prep-6","Inner Regional","Maldon",78200,"Inner Regional Australia","2016",144.065814,-36.995039
"Primary","VIC",234,"Government",108,972,17,234.0,2,126,"Prep-6","Inner Regional","Woori Yallock",78201,"Inner Regional Australia","2016",145.5326881,-37.77737209
"Primary","VIC",32,"Government",14,1000,3,31.5,6,18,"Prep-6","Inner Regional","Moyston",78202,"Inner Regional Australia","2016",142.76785,-37.301664
"Primary","VIC",671,"Government",339,1052,41,671.0,2,332,"Prep-6","Inner Regional","Buninyong",78203,"Inner Regional Australia","2016",143.8857746,-37.65410344
"Primary","VIC",50,"Government",21,974,5,50.0,12,29,"Prep-6","Inner Regional","Marysville",78204,"Inner Regional Australia","2016",145.748939,-37.511982
"Primary","VIC",39,"Government",19,1023,8,39.0,0,20,"Prep-6","Inner Regional","Langley",78205,"Inner Regional Australia","2016",144.489657,-37.17118
"Primary","VIC",353,"Government",161,984,24,353.0,6,192,"Prep-6","Inner Regional","Wandong",78206,"Inner Regional Australia","2016",145.027861,-37.360304
"Primary","VIC",547,"Government",259,1010,35,546.0,5,288,"Prep-6","Inner Regional","Cowes",78207,"Inner Regional Australia","2016",145.241315,-38.456278
"Primary","VIC",6,"Government",0,994,2,6.0,0,6,"1-Jun","Inner Regional","Bullarto",78208,"Inner Regional Australia","2016",144.218221,-37.405379
"Primary","VIC",29,"Government",11,1002,5,29.0,0,18,"Prep-6","Outer Regional","Lismore",78209,"Outer Regional Australia","2016",143.3392983,-37.95459656
"Primary","VIC",153,"Government",72,1065,10,153.0,12,81,"Prep-6","Major Cities","Lower Plenty",78210,"Major Cities of Australia","2016",145.116206,-37.725816
"Primary","VIC",290,"Government",153,969,22,289.1,4,137,"Prep-6","Inner Regional","Golden Square",78211,"Inner Regional Australia","2016",144.248897,-36.762065
"Primary","VIC",89,"Government",40,999,8,89.0,0,49,"Prep-6","Outer Regional","Bolwarra",78212,"Outer Regional Australia","2016",141.613797,-38.281613
"Primary","VIC",6,"Government",3,1024,2,6.0,0,3,"1-May","Outer Regional","Navarre",78213,"Outer Regional Australia","2016",143.111337,-36.900737
"Primary","VIC",156,"Government",72,969,11,156.0,0,84,"Prep-6","Outer Regional","Warracknabeal",78214,"Outer Regional Australia","2016",142.391263,-36.257875
"Primary","VIC",30,"Government",18,1041,6,30.0,0,12,"Prep-6","Inner Regional","Moyhu",78215,"Inner Regional Australia","2016",146.383087,-36.593173
"Primary","VIC",7,"Government",7,949,2,7.0,0,0,"Prep-6","Inner Regional","Natte Yallock",78216,"Inner Regional Australia","2016",143.468003,-36.942129
"Primary","VIC",736,"Government",368,1186,60,736.0,22,368,"Prep-6","Major Cities","Clifton Hill",78217,"Major Cities of Australia","2016",144.989245,-37.792308
"Primary","VIC",27,"Government",16,1050,4,27.0,4,11,"Prep-6","Inner Regional","Christmas Hills",78218,"Inner Regional Australia","2016",145.3041635,-37.65393692
"Primary","VIC",100,"Government",52,996,9,100.0,3,48,"Prep-6","Outer Regional","Tallangatta",78219,"Outer Regional Australia","2016",147.1741969,-36.21479715
"Primary","VIC",66,"Government",33,1009,4,66.0,9,33,"Prep-6","Inner Regional","Kialla",78220,"Inner Regional Australia","2016",145.430827,-36.452632
"Primary","VIC",644,"Government",294,1102,39,644.0,6,350,"Prep-6","Major Cities","Mount Eliza",78221,"Major Cities of Australia","2016",145.0919209,-38.1953757
"Primary","VIC",126,"Government",64,1005,11,126.0,6,62,"Prep-6","Inner Regional","San Remo",78222,"Inner Regional Australia","2016",145.369453,-38.523852
"Primary","VIC",115,"Government",63,966,9,115.0,3,52,"Prep-6","Outer Regional","Dimboola",78223,"Outer Regional Australia","2016",142.030403,-36.453364
"Primary","VIC",29,"Government",14,1009,4,29.0,7,15,"Prep-6","Inner Regional","Whorouly",78224,"Inner Regional Australia","2016",146.586653,-36.505442
"Primary","VIC",32,"Government",14,1035,4,32.0,0,18,"Prep-6","Outer Regional","Merrijig",78225,"Outer Regional Australia","2016",146.25688,-37.102798
"Primary","VIC",133,"Government",72,1000,13,133.0,1,61,"Prep-6","Inner Regional","Lethbridge",78226,"Inner Regional Australia","2016",144.1344294,-37.96927133
"Primary","VIC",70,"Government",35,1008,3,70.0,4,35,"Prep-6","Inner Regional","Oxley",78227,"Inner Regional Australia","2016",146.360637,-36.441561
"Primary","VIC",379,"Government",190,1147,20,379.0,22,189,"Prep-6","Major Cities","Northcote",78228,"Major Cities of Australia","2016",144.99688,-37.771758
"Primary","VIC",724,"Government",349,1134,53,723.6,54,375,"Prep-6","Major Cities","North Melbourne",78229,"Major Cities of Australia","2016",144.950779,-37.798613
"Primary","VIC",383,"Government",191,942,30,383.0,79,192,"Prep-6","Major Cities","Dandenong",78230,"Major Cities of Australia","2016",145.219821,-37.987917
"Primary","VIC",66,"Government",40,1008,6,66.0,3,26,"Prep-6","Inner Regional","Malmsbury",78231,"Inner Regional Australia","2016",144.387533,-37.187026
"Primary","VIC",739,"Government",328,1137,49,739.0,10,411,"Prep-6","Major Cities","Williamstown",78232,"Major Cities of Australia","2016",144.891757,-37.855902
"Primary","VIC",51,"Government",26,911,6,50.4,0,25,"Prep-6","Outer Regional","Kerang",78233,"Outer Regional Australia","2016",143.921138,-35.731693
"Primary","VIC",195,"Government",87,983,13,195.0,2,108,"Prep-6","Inner Regional","Drouin West",78234,"Inner Regional Australia","2016",145.871719,-38.087115
"Primary","VIC",86,"Government",40,998,8,86.0,3,46,"Prep-6","Inner Regional","Meredith",78235,"Inner Regional Australia","2016",144.0778091,-37.84271017
"Primary","VIC",28,"Government",17,998,3,28.0,7,11,"Prep-6","Outer Regional","Edi Upper",78236,"Outer Regional Australia","2016",146.448811,-36.706471
"Primary","VIC",400,"Government",188,965,28,399.4,1,212,"Prep-6","Inner Regional","Eaglehawk",78237,"Inner Regional Australia","2016",144.237274,-36.706762
"Primary","VIC",208,"Government",111,878,18,208.0,10,97,"Prep-6","Inner Regional","Mooroopna",78238,"Inner Regional Australia","2016",145.360292,-36.391363
"Primary","VIC",867,"Government",406,1004,66,867.0,77,461,"Prep-6","Major Cities","Cairnlea",78239,"Major Cities of Australia","2016",144.787257,-37.757556
"Primary","VIC",177,"Government",82,1003,16,177.0,7,95,"Prep-6","Inner Regional","Ballan",78240,"Inner Regional Australia","2016",144.2311016,-37.60168009
"Primary","VIC",158,"Government",66,955,13,158.0,11,92,"Prep-6","Inner Regional","Ballarat",78241,"Inner Regional Australia","2016",143.857784,-37.577805
"Primary","VIC",213,"Government",98,976,14,213.0,6,115,"Prep-6","Inner Regional","Tatura",78242,"Inner Regional Australia","2016",145.229923,-36.444966
"Primary","VIC",154,"Government",67,1050,10,154.0,0,87,"Prep-6","Inner Regional","Toolamba",78243,"Inner Regional Australia","2016",145.344182,-36.490521
"Primary","VIC",26,"Government",17,916,3,26.0,0,9,"Prep-6","Inner Regional","Tatura",78244,"Inner Regional Australia","2016",145.141851,-36.470108
"Primary","VIC",70,"Government",26,1039,7,70.0,1,44,"Prep-6","Inner Regional","Osbornes Flat",78245,"Inner Regional Australia","2016",146.892571,-36.31716
"Primary","VIC",272,"Government",134,993,20,272.0,31,138,"Prep-6","Major Cities","Frankston",78246,"Major Cities of Australia","2016",145.1240309,-38.14755735
"Primary","VIC",119,"Government",53,993,10,119.0,2,66,"Prep-6","Outer Regional","Donald",78247,"Outer Regional Australia","2016",142.984628,-36.367208
"Primary","VIC",242,"Government",116,987,20,242.0,14,126,"Prep-6","Inner Regional","Beveridge",78248,"Inner Regional Australia","2016",144.9776289,-37.47299367
"Primary","VIC",578,"Government",288,1131,36,578.0,27,290,"Prep-6","Major Cities","St Kilda",78250,"Major Cities of Australia","2016",144.988,-37.8693
"Primary","VIC",15,"Government",5,934,2,15.0,0,10,"Prep-6","Inner Regional","Cape Clear",78251,"Inner Regional Australia","2016",143.6082053,-37.79195536
"Primary","VIC",57,"Government",30,952,9,57.0,4,27,"Prep-6","Inner Regional","Warburton",78252,"Inner Regional Australia","2016",145.7017044,-37.75580451
"Primary","VIC",71,"Government",19,967,8,71.0,8,52,"Prep-6","Inner Regional","Tallarook",78253,"Inner Regional Australia","2016",145.10067,-37.096764
"Primary","VIC",25,"Government",12,982,3,25.0,0,13,"Prep-6","Inner Regional","Barnawartha",78254,"Inner Regional Australia","2016",146.675889,-36.101309
"Primary","VIC",532,"Government",258,1152,40,532.0,26,274,"Prep-6","Major Cities","Fitzroy North",78255,"Major Cities of Australia","2016",144.984149,-37.78502
"Primary","VIC",236,"Government",122,1053,15,236.0,16,114,"Prep-6","Major Cities","Geelong West",78256,"Major Cities of Australia","2016",144.347375,-38.138701
"Primary","VIC",761,"Government",369,1062,49,761.0,41,392,"Prep-6","Major Cities","Preston",78257,"Major Cities of Australia","2016",145.01031,-37.730548
"Primary","VIC",261,"Government",122,979,20,261.0,4,139,"Prep-6","Inner Regional","Tooradin",78258,"Inner Regional Australia","2016",145.378493,-38.207631
"Primary","VIC",384,"Government",180,1157,25,384.0,42,204,"Prep-6","Major Cities","Hawthorn",78259,"Major Cities of Australia","2016",145.033857,-37.824042
"Primary","VIC",25,"Government",9,949,3,25.0,4,16,"Prep-5","Inner Regional","Elmore",78260,"Inner Regional Australia","2016",144.608912,-36.497198
"Primary","VIC",39,"Government",23,999,4,39.0,3,16,"Prep-6","Inner Regional","Dookie",78261,"Inner Regional Australia","2016",145.682794,-36.331067
"Primary","VIC",810,"Government",408,1153,58,810.0,22,402,"Prep-6","Major Cities","Brighton",78262,"Major Cities of Australia","2016",145.002234,-37.911753
"Primary","VIC",36,"Government",23,1026,3,36.0,6,13,"Prep-6","Outer Regional","Natimuk",78263,"Outer Regional Australia","2016",141.9503852,-36.7414199
"Combined","VIC",268,"Government",127,975,30,267.4,1,141,"Prep-12","Outer Regional","Murtoa",78264,"Outer Regional Australia","2016",142.475745,-36.623495
"Primary","VIC",275,"Government",126,975,19,275.0,2,149,"Prep-6","Inner Regional","Big Hill",78265,"Inner Regional Australia","2016",144.241609,-36.830373
"Primary","VIC",143,"Government",61,968,11,143.0,1,82,"Prep-6","Inner Regional","Clunes",78266,"Inner Regional Australia","2016",143.7921149,-37.2907506
"Primary","VIC",12,"Government",7,1021,2,12.0,17,5,"Prep-6","Outer Regional","Marnoo",78267,"Outer Regional Australia","2016",142.870353,-36.676853
"Primary","VIC",207,"Government",113,1023,16,207.0,7,94,"Prep-6","Inner Regional","Beechworth",78268,"Inner Regional Australia","2016",146.693567,-36.355433
"Primary","VIC",25,"Government",10,856,4,25.0,0,15,"Prep-6","Inner Regional","Ardmona",78269,"Inner Regional Australia","2016",145.313066,-36.385458
"Primary","VIC",404,"Government",203,990,28,404.0,5,201,"Prep-6","Inner Regional","Kilmore",78270,"Inner Regional Australia","2016",144.947521,-37.295768
"Primary","VIC",75,"Government",39,994,6,75.0,15,36,"Prep-6","Outer Regional","Macarthur",78271,"Outer Regional Australia","2016",142.001473,-38.030878
"Primary","VIC",474,"Government",227,1104,29,474.0,2,247,"Prep-6","Inner Regional","Barwon Heads",78272,"Inner Regional Australia","2016",144.4872092,-38.28106699
"Primary","VIC",567,"Government",271,1050,37,567.0,28,296,"Prep-6","Major Cities","Keilor",78273,"Major Cities of Australia","2016",144.835887,-37.716868
"Primary","VIC",90,"Government",41,924,7,90.0,0,49,"Prep-6","Inner Regional","Dunolly",78274,"Inner Regional Australia","2016",143.733581,-36.851552
"Primary","VIC",29,"Government",14,981,3,29.0,0,15,"Prep-6","Inner Regional","Springhurst",78275,"Inner Regional Australia","2016",146.468103,-36.184673
"Primary","VIC",89,"Government",43,1015,8,89.0,2,46,"Prep-6","Inner Regional","Dixons Creek",78276,"Inner Regional Australia","2016",145.413517,-37.59234
"Primary","VIC",80,"Government",40,1058,6,80.0,1,40,"Prep-6","Inner Regional","Trentham",78277,"Inner Regional Australia","2016",144.3280953,-37.38796656
"Primary","VIC",25,"Government",11,941,3,25.0,8,14,"Prep-6","Inner Regional","Warrenheip",78278,"Inner Regional Australia","2016",143.9279491,-37.57391565
"Primary","VIC",595,"Government",295,1016,37,595.0,1,300,"Prep-6","Inner Regional","Maiden Gully",78279,"Inner Regional Australia","2016",144.210192,-36.744472
"Primary","VIC",50,"Government",16,1008,5,50.0,6,34,"Prep-6","Outer Regional","Rupanyup",78280,"Outer Regional Australia","2016",142.628612,-36.632224
"Primary","VIC",43,"Government",26,956,4,43.0,0,17,"Prep-6","Inner Regional","Goornong",78281,"Inner Regional Australia","2016",144.505155,-36.616872
"Primary","VIC",401,"Government",196,1102,24,401.0,41,205,"Prep-6","Major Cities","Oakleigh",78282,"Major Cities of Australia","2016",145.088615,-37.894474
"Primary","VIC",104,"Government",51,1025,7,104.0,3,53,"Prep-6","Major Cities","Ceres",78283,"Major Cities of Australia","2016",144.266732,-38.173549
"Primary","VIC",433,"Government",198,1167,31,433.0,17,235,"Prep-6","Major Cities","Malvern",78284,"Major Cities of Australia","2016",145.034401,-37.856009
"Primary","VIC",296,"Government",164,1043,24,296.0,9,132,"Prep-6","Inner Regional","Daylesford",78285,"Inner Regional Australia","2016",144.1415552,-37.34510484
"Primary","VIC",28,"Government",13,860,3,28.0,0,15,"Prep-6","Inner Regional","Mooroopna",78286,"Inner Regional Australia","2016",145.298488,-36.329139
"Primary","VIC",99,"Government",46,955,9,99.0,4,53,"Prep-6","Outer Regional","Swan Reach",78287,"Outer Regional Australia","2016",147.864786,-37.821077
"Primary","VIC",10,"Government",3,889,2,10.0,0,7,"Prep-6","Inner Regional","Amphitheatre",78288,"Inner Regional Australia","2016",143.399236,-37.184128
"Primary","VIC",303,"Government",127,997,20,303.0,1,176,"Prep-6","Inner Regional","Miners Rest",78308,"Inner Regional Australia","2016",143.7952382,-37.47791092
"Primary","VIC",60,"Government",30,1044,5,60.0,0,30,"Prep-6","Inner Regional","Deans Marsh",78289,"Inner Regional Australia","2016",143.8857511,-38.39987507
"Primary","VIC",543,"Government",276,1006,41,543.0,3,267,"Prep-6","Inner Regional","Drysdale",78290,"Inner Regional Australia","2016",144.571747,-38.169163
"Primary","VIC",135,"Government",63,984,10,134.4,1,72,"Prep-6","Outer Regional","St Arnaud",78291,"Outer Regional Australia","2016",143.257542,-36.6102
"Primary","VIC",57,"Government",29,1001,5,57.0,2,28,"Prep-6","Inner Regional","Nullawarre",78292,"Inner Regional Australia","2016",142.734429,-38.466755
